"Timestamp","On average, how much time do you spend participating in extracurricular activities?","How many of your class meetings do you attend in a typical week?","Weekly study hours","Course load","How would you describe your use of AI tools (ChatGPT, Gemini, Claude)?","On average, how many hours of sleep do you get per night?","What is your current major?","How many languages do you speak fluently?","How much water do you drink daily on average?","How do you usually organize or remember your schedule?","What was your high school GPA?","And finally, what is your college GPA?"
"2025/11/11 12:33:53 PM PST","2","80–90%","16-20","17-18 units","I consult AI for guidance on homework questions","8","Data Science","3","1–2 liters","Todoist or another task manager app","3.7–4.0","3.3–3.7"
"2025/11/11 12:48:00 PM PST","4","90–100%","6-10","17-18 units","I use AI as an assistant to my studying efforts","6","Computer engineering ","1","1–2 liters","Google Calendar","3.7–4.0","3.3–3.7"
"2025/11/11 12:51:58 PM PST","6","90–100%","0-5","15-16 units","I consult AI for guidance on homework questions","7","Statistics","2","1–2 liters","Google Calendar","3.3–3.7","3.3–3.7"
"2025/11/11 12:56:35 PM PST","0","0–60%","16-20","17-18 units","I consult AI for guidance on homework questions","7","Data Science","2","Less than 1 liter (about 3 cups)","None","3.3–3.7","3.3–3.7"
"2025/11/11 1:02:24 PM PST","8","90–100%","11-15","8-12 units","I use AI as an assistant to my studying efforts","6","Secondary education of mathematics ","2","2–3 liters","Other","2.7–3.0","3.7–4.0"
"2025/11/11 1:05:16 PM PST","3","90–100%","0-5","8-12 units","I consult AI for guidance on homework questions","6","Computer science ","1","1–2 liters","Paper planner","3.3–3.7","3.3–3.7"
"2025/11/11 1:06:52 PM PST","0","90–100%","6-10","13-14 units","I consult AI for guidance on homework questions","8","Robotics","2","Less than 1 liter (about 3 cups)","Google Calendar","3.7–4.0","3.3–3.7"
"2025/11/11 1:07:40 PM PST","30","80–90%","0-5","19+ units","I use AI as an assistant to my studying efforts","7.5","CS","2","2–3 liters","Other","3.7–4.0","3.7–4.0"
"2025/11/11 1:07:44 PM PST","0","90–100%","0-5","8-12 units","I consult AI for guidance on homework questions","8","DTSE","2","2–3 liters","Google Calendar","2.7–3.0","3.3–3.7"
"2025/11/11 1:10:29 PM PST","5","90–100%","16-20","17-18 units","I consult AI for guidance on homework questions","6","Data Science ","3","2–3 liters","Todoist or another task manager app","3.7–4.0","3.7–4.0"
"2025/11/11 1:13:52 PM PST","0","80–90%","11-15","13-14 units","I use AI as an assistant to my studying efforts","6","Chemistry ","1","2–3 liters","Paper planner","3.7–4.0","2.7–3.0"
"2025/11/11 1:15:12 PM PST","6","60–80%","11-15","15-16 units","I don't use AI","7","Chemical Engineering","1","More than 3 liters","None","3.3–3.7","3.0–3.3"
"2025/11/11 1:16:12 PM PST","4","90–100%","6-10","8-12 units","I use AI as an assistant to my studying efforts","7","Education ","1","1–2 liters","Google Calendar","3.7–4.0","3.3–3.7"
"2025/11/11 1:16:13 PM PST","0","0–60%","11-15","17-18 units","I use AI as an assistant to my studying efforts","7","Mathematics ","2","Less than 1 liter (about 3 cups)","None","3.7–4.0","3.7–4.0"
"2025/11/11 1:23:01 PM PST","4","90–100%","16-20","15-16 units","I don't use AI","7","Pre-Business","2","Less than 1 liter (about 3 cups)","Paper planner","3.7–4.0","3.7–4.0"
"2025/11/11 1:35:43 PM PST","32","80–90%","0-5","17-18 units","I use AI as an assistant to my studying efforts","7","Psychology ","3","1–2 liters","Google Calendar","3.3–3.7","3.3–3.7"
"2025/11/11 1:40:16 PM PST","15","90–100%","0-5","17-18 units","I use AI as an assistant to my studying efforts","7","Business Economics ","1","1–2 liters","Other","3.7–4.0","3.3–3.7"
"2025/11/11 2:10:02 PM PST","6","0–60%","0-5","19+ units","I don't use AI","5.5","Physics","2","2–3 liters","Google Calendar","3.3–3.7","3.7–4.0"
"2025/11/11 2:51:11 PM PST","5 ","90–100%","6-10","13-14 units","I don't use AI","7","Theater: acting","2","2–3 liters","Todoist or another task manager app","3.7–4.0","3.7–4.0"
"2025/11/11 3:26:56 PM PST","0","90–100%","11-15","13-14 units","I consult AI for guidance on homework questions","7","cell, molecular, developmental biology","2","Less than 1 liter (about 3 cups)","Other","3.3–3.7","3.3–3.7"
"2025/11/11 3:48:59 PM PST","0","90–100%","6-10","15-16 units","I don't use AI","6","Neuroscience","2","2–3 liters","None","2.0–2.7","3.7–4.0"
"2025/11/11 4:53:24 PM PST","0","90–100%","11-15","17-18 units","I don't use AI","6","Computer Science","1","1–2 liters","Google Calendar","3.3–3.7","3.3–3.7"
"2025/11/11 6:19:58 PM PST","20","90–100%","0-5","13-14 units","I use AI as an assistant to my studying efforts","7","Biology ","1","1–2 liters","Google Calendar","3.7–4.0","3.7–4.0"
"2025/11/11 7:16:48 PM PST","0","80–90%","0-5","13-14 units","I use AI as an assistant to my studying efforts","7","Data science","2","2–3 liters","None","3.7–4.0","2.7–3.0"
"2025/11/11 8:32:05 PM PST","0.5","90–100%","6-10","17-18 units","I don't use AI","6","Anthropology ","2","1–2 liters","Google Calendar","3.3–3.7","3.7–4.0"
"2025/11/11 11:26:21 PM PST","5","90–100%","11-15","13-14 units","I don't use AI","8","Psych","3","2–3 liters","","3.3–3.7","2.7–3.0"
"2025/11/12 8:58:12 AM PST","6","90–100%","6-10","13-14 units","I use AI as an assistant to my studying efforts","8","Medial Anthropology ","1","1–2 liters","Google Calendar","3.0–3.3","3.0–3.3"
"2025/11/12 10:10:25 AM PST","0","90–100%","0-5","15-16 units","I use AI as an assistant to my studying efforts","6","Psychology","2","1–2 liters","Paper planner","3.7–4.0","3.0–3.3"
"2025/11/12 10:57:53 AM PST","0","80–90%","6-10","8-12 units","I use AI as an assistant to my studying efforts","9","CMDB","2","1–2 liters","Other","3.0–3.3","2.7–3.0"
"2025/11/12 11:16:12 AM PST","1","90–100%","0-5","19+ units","I don't use AI","7","Psychology/Public Policy","3","2–3 liters","Google Calendar","3.7–4.0","3.7–4.0"
"2025/11/12 11:17:17 AM PST","0","90–100%","6-10","15-16 units","I consult AI for guidance on homework questions","6","education, society and human development ","2","2–3 liters","Paper planner","3.7–4.0","3.7–4.0"
